"","x"
"1",0.272632241648216
"2",0.13017776672118
"3",0.113564975187114
"4",0.0880175768454106
"5",0.0509351790997075
"6",0.0425122869929389
"7",0.0356419477935747
"8",0.0349884764191687
"9",0.0275637507221149
"10",0.0268474332561731
"11",0.0246226769180048
"12",0.0212234240665336
"13",0.0196824811745482
"14",0.0192901862975585
"15",0.0141774042817463
"16",0.0135589921327494
"17",0.0123958239614469
"18",0.0118398553995468
"19",0.00950478125731031
"20",0.00861719301781318
"21",0.00754637648247462
"22",0.0055183030684767
"23",0.00540878541664996
"24",0.00373208183954289
"25",3.08617402779379e-32
